iter	RMSE
0	3.826963316
1	3.735063997
2	3.650916524
3	3.569607033
4	3.494198896
5	3.428733228
6	3.364447763
7	3.302180988
8	3.246996893
9	3.197660154
10	3.14705556
11	3.102346523
12	3.052494918
13	3.011904621
14	2.969968542
15	2.934909291
16	2.900102241
17	2.870839494
18	2.840017
19	2.807232145
20	2.780000607
21	2.753897647
22	2.727208382
23	2.705721507
24	2.684348787
25	2.663013913
26	2.643630011
27	2.622737051
28	2.604155508
29	2.58429418
30	2.566553873
31	2.550494646
32	2.534518354
33	2.518799508
34	2.505998609
35	2.492000784
36	2.478886419
37	2.466260615
38	2.45436592
39	2.442595386
40	2.429687569
41	2.419246892
42	2.408872966
43	2.397901141
44	2.389035762
45	2.37956699
46	2.367805814
47	2.359956969
48	2.351013599
49	2.343217384
50	2.335374982
51	2.327824367
52	2.320848773
53	2.313231553
54	2.305233806
55	2.298929368
56	2.290493649
57	2.282504861
58	2.274324036
59	2.26644235
60	2.259214455
61	2.25228774
62	2.245827155
63	2.240361017
64	2.233304058
65	2.226035436
66	2.220424628
67	2.214333967
68	2.208509383
69	2.203595998
70	2.198403145
71	2.193239755
72	2.188530498
73	2.182007019
74	2.177021048
75	2.172550524
76	2.16714159
77	2.162731016
78	2.15855345
79	2.154224357
80	2.149531183
81	2.144854891
82	2.140662524
83	2.135275972
84	2.13045389
85	2.125657025
86	2.121907256
87	2.117643225
88	2.113837863
89	2.10866274
90	2.105028295
91	2.100971203
92	2.097429027
93	2.093836952
94	2.090264609
95	2.085929924
96	2.080252912
97	2.077291207
98	2.075087157
99	2.072100856
100	2.069394875
101	2.066686713
102	2.063502463
103	2.061149603
104	2.057783964
105	2.053525953
106	2.050747105
107	2.046033577
108	2.043729308
109	2.040211682
110	2.036158933
111	2.033717818
112	2.029509915
113	2.027405837
114	2.024202448
115	2.021577664
116	2.01882232
117	2.016452591
118	2.013836624
119	2.011193945
120	2.008916827
121	2.005639351
122	2.002223467
123	1.999741741
124	1.99792694
125	1.994537926
126	1.992751012
127	1.990345398
128	1.988183402
129	1.984737459
130	1.982442101
131	1.980870267
132	1.979150328
133	1.975054606
134	1.973055315
135	1.969874861
136	1.968103616
137	1.966635434
138	1.963976219
139	1.961776923
140	1.959087144
141	1.955178039
142	1.953580779
143	1.950980235
144	1.949228365
145	1.94715319
146	1.945190956
147	1.94291934
148	1.940728722
149	1.93884029
150	1.936867058
151	1.934005278
152	1.931098356
153	1.928248327
154	1.92701814
155	1.925708617
156	1.923621758
157	1.922064865
158	1.919558446
159	1.919247448
160	1.917541198
161	1.917246021
162	1.915653481
163	1.914036319
164	1.912114859
165	1.910343532
166	1.909238913
167	1.9079735
168	1.906150114
169	1.904536438
170	1.902948377
171	1.900877784
172	1.899621866
173	1.898347832
174	1.89632464
175	1.893292576
176	1.891798918
177	1.890548822
178	1.890284074
179	1.888991133
180	1.887235312
181	1.883740114
182	1.882981881
183	1.881724541
184	1.880446973
185	1.878910625
186	1.877948447
187	1.876461872
188	1.876230725
189	1.875911289
190	1.874775752
