iter	Passed	Remaining
0	1	197
1	4	209
2	6	204
3	8	204
4	10	203
5	13	206
6	15	203
7	17	198
8	19	194
9	21	193
10	23	193
11	25	190
12	27	187
13	30	185
14	32	184
15	34	181
16	36	178
17	38	175
18	40	172
19	42	170
20	44	168
21	46	165
22	48	163
23	50	160
24	53	159
25	55	157
26	57	154
27	59	153
28	61	151
29	63	148
30	66	146
31	68	145
32	70	142
33	72	140
34	74	138
35	76	135
36	78	133
37	80	131
38	82	128
39	84	126
40	86	124
41	88	122
42	91	121
43	93	119
44	95	117
45	98	115
46	100	112
47	102	110
48	104	108
49	106	106
50	109	104
51	111	102
52	113	100
53	115	98
54	117	96
55	120	94
56	122	92
57	124	90
58	127	88
59	129	86
60	131	84
61	134	82
62	136	80
63	138	77
64	140	75
65	142	73
66	144	71
67	146	69
68	148	66
69	150	64
70	152	62
71	154	60
72	157	58
73	159	56
74	161	53
75	163	51
76	165	49
77	167	47
78	169	44
79	170	42
80	172	40
81	174	38
82	176	36
83	178	34
84	180	31
85	182	29
86	184	27
87	186	25
88	188	23
89	191	21
90	193	19
91	195	16
92	197	14
93	199	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
