iter	Passed	Remaining
0	2	2900
1	5	2658
2	7	2399
3	9	2307
4	11	2286
5	13	2276
6	16	2281
7	19	2385
8	21	2379
9	23	2366
10	25	2330
11	27	2304
12	29	2259
13	31	2231
14	34	2269
15	36	2267
16	39	2262
17	41	2244
18	43	2231
19	45	2216
20	47	2214
21	50	2263
22	53	2263
23	55	2256
24	57	2245
25	60	2268
26	62	2270
27	65	2282
28	68	2282
29	70	2275
30	72	2270
31	76	2302
32	78	2306
33	81	2318
34	84	2319
35	86	2304
36	87	2290
37	90	2283
38	92	2277
39	94	2277
40	97	2286
41	99	2276
42	102	2271
43	104	2265
44	106	2261
45	108	2253
46	110	2247
47	114	2261
48	116	2257
49	118	2245
50	120	2236
51	122	2228
52	124	2226
53	128	2251
54	131	2256
55	133	2246
56	136	2252
57	138	2252
58	140	2246
59	143	2244
60	146	2258
61	149	2257
62	152	2266
63	155	2269
64	157	2261
65	159	2257
66	162	2265
67	165	2262
68	167	2265
69	170	2268
70	172	2259
71	174	2253
72	177	2260
73	180	2253
74	182	2249
75	184	2242
76	187	2243
77	190	2246
78	192	2243
79	195	2249
80	198	2251
81	200	2246
82	203	2252
83	205	2242
84	207	2233
85	210	2231
86	212	2227
87	214	2219
88	216	2211
89	218	2206
90	220	2199
91	222	2195
92	224	2188
93	227	2188
94	229	2184
95	231	2179
96	233	2174
97	236	2172
98	238	2170
99	241	2171
100	243	2167
101	245	2164
102	248	2161
103	250	2156
104	252	2153
105	255	2151
106	258	2154
107	261	2160
108	264	2159
109	266	2157
110	269	2154
111	271	2153
112	274	2157
113	276	2152
114	279	2151
115	282	2151
116	284	2149
117	287	2147
118	290	2150
119	293	2149
120	295	2146
121	298	2148
122	300	2143
123	302	2139
124	306	2144
125	309	2144
126	311	2140
127	313	2138
128	316	2136
129	318	2131
130	321	2132
131	324	2134
132	326	2131
133	329	2128
134	331	2126
135	334	2124
136	337	2123
137	340	2125
138	342	2121
139	345	2119
140	348	2123
141	351	2121
142	354	2121
143	356	2120
144	358	2116
145	361	2113
146	363	2111
147	366	2111
148	369	2110
149	372	2109
150	374	2107
151	377	2104
152	380	2105
153	383	2105
154	386	2106
155	389	2105
156	391	2100
157	393	2099
158	396	2099
159	399	2096
160	402	2096
161	404	2094
162	407	2090
163	409	2086
164	412	2085
165	415	2085
166	418	2087
167	421	2085
168	423	2081
169	426	2079
170	428	2079
171	431	2076
172	434	2077
173	436	2070
174	438	2066
175	440	2063
176	443	2061
177	446	2060
178	448	2058
179	451	2055
180	453	2051
181	455	2048
182	458	2048
183	461	2047
184	464	2044
185	467	2044
186	469	2042
187	474	2048
188	476	2046
189	479	2043
190	482	2044
191	485	2042
192	487	2036
193	489	2034
194	491	2027
195	493	2024
196	495	2021
197	498	2021
198	501	2018
199	503	2014
200	505	2011
201	508	2009
202	510	2006
203	514	2006
204	516	2004
205	519	2001
206	521	1999
207	525	1999
208	526	1993
209	529	1993
210	531	1987
211	533	1983
212	536	1980
213	538	1979
214	541	1977
215	544	1975
216	547	1974
217	549	1970
218	551	1967
219	554	1967
220	557	1964
221	559	1961
222	563	1963
223	565	1958
224	567	1955
225	570	1954
226	573	1951
227	576	1952
228	580	1952
229	582	1951
230	585	1949
231	588	1948
232	590	1944
233	594	1944
234	596	1941
235	598	1938
236	601	1935
237	604	1934
238	606	1930
239	609	1929
240	611	1926
241	613	1923
242	617	1923
243	620	1921
244	622	1918
245	626	1918
246	629	1918
247	631	1915
248	634	1914
249	636	1910
250	639	1907
251	641	1904
252	644	1901
253	646	1899
254	649	1897
255	652	1895
256	654	1892
257	658	1892
258	660	1889
259	663	1887
260	665	1885
261	667	1881
262	670	1878
263	673	1878
264	676	1875
265	678	1872
266	681	1869
267	683	1867
268	686	1864
269	689	1864
270	692	1862
271	694	1860
272	698	1859
273	700	1856
274	703	1853
275	706	1853
276	708	1849
277	711	1846
278	713	1844
279	716	1843
280	719	1840
281	722	1840
282	725	1837
283	727	1833
284	730	1831
285	733	1830
286	736	1829
287	739	1828
288	741	1824
289	744	1822
290	747	1820
291	755	1832
292	758	1830
293	761	1828
294	764	1827
295	766	1823
296	770	1823
297	772	1820
298	775	1817
299	778	1816
300	780	1813
301	783	1809
302	786	1809
303	789	1806
304	791	1803
305	794	1800
306	796	1797
307	798	1793
308	801	1792
309	803	1788
310	805	1784
311	806	1779
312	809	1777
313	812	1774
314	814	1771
315	817	1770
316	820	1767
317	822	1764
318	825	1761
319	827	1758
320	829	1755
321	832	1753
322	834	1749
323	837	1746
324	839	1744
325	841	1740
326	844	1737
327	846	1733
328	849	1732
329	851	1729
330	854	1726
331	856	1723
332	858	1720
333	861	1717
334	863	1713
335	866	1712
336	868	1708
337	870	1705
338	872	1701
339	874	1698
340	876	1694
341	879	1691
342	881	1688
343	883	1685
344	885	1681
345	887	1678
346	889	1674
347	891	1670
348	893	1666
349	895	1662
350	898	1661
351	900	1657
352	902	1654
353	904	1651
354	906	1647
355	908	1644
356	911	1641
357	914	1639
358	916	1636
359	918	1633
360	921	1630
361	923	1626
362	925	1623
